,Year,Team,Winner
288,1997.0,1,Michael Jordan
289,1997.0,2,Gary Payton
290,1997.0,3,John Stockton
291,1996.0,1,Anfernee Hardaway
292,1996.0,2,John Stockton
293,1996.0,3,Reggie Miller
294,1995.0,1,John Stockton
295,1995.0,2,Gary Payton
296,1995.0,3,Reggie Miller
297,1994.0,1,Latrell Sprewell
298,1994.0,2,Mitch Richmond
299,1994.0,3,Gary Payton
300,1993.0,1,Michael Jordan
301,1993.0,2,John Stockton
302,1993.0,3,Tim Hardaway
303,1992.0,1,Michael Jordan
304,1992.0,2,John Stockton
305,1992.0,3,Mark Price
306,1991.0,1,Michael Jordan
307,1991.0,2,Kevin Johnson
308,1991.0,3,Joe Dumars
309,1990.0,1,Magic Johnson
310,1990.0,2,Kevin Johnson
311,1990.0,3,Clyde Drexler
312,2015.0,1,Stephen Curry
313,2015.0,2,Russell Westbrook
314,2015.0,3,Klay Thompson
315,2014.0,1,Chris Paul
316,2014.0,2,Tony Parker
317,2014.0,3,Goran Dragic
318,2013.0,1,Chris Paul
319,2013.0,2,Tony Parker
320,2013.0,3,Dwyane Wade
321,2012.0,1,Chris Paul
322,2012.0,2,Tony Parker
323,2012.0,3,Rajon Rondo
324,2011.0,1,Derrick Rose
325,2011.0,2,Russell Westbrook
326,2011.0,3,Chris Paul
327,2010.0,1,Dwyane Wade
328,2010.0,2,Deron Williams
329,2010.0,3,Joe Johnson
330,2009.0,1,Kobe Bryant
331,2009.0,2,Brandon Roy
332,2009.0,3,Chauncey Billups
333,2008.0,1,Kobe Bryant
334,2008.0,2,Deron Williams
335,2008.0,3,Tracy McGrady
336,2007.0,1,Steve Nash
337,2007.0,2,Tracy McGrady
338,2007.0,3,Chauncey Billups
339,2006.0,1,Kobe Bryant
340,2006.0,2,Chauncey Billups
341,2006.0,3,Allen Iverson
342,2005.0,1,Allen Iverson
343,2005.0,2,Dwyane Wade
344,2005.0,3,Gilbert Arenas
345,2004.0,1,Jason Kidd
346,2004.0,2,Tracy McGrady
347,2004.0,3,Baron Davis
348,2003.0,1,Kobe Bryant
349,2003.0,2,Jason Kidd
350,2003.0,3,Steve Nash
351,2002.0,1,Jason Kidd
352,2002.0,2,Gary Payton
353,2002.0,3,Steve Nash
354,2001.0,1,Allen Iverson
355,2001.0,2,Tracy McGrady
356,2001.0,3,Ray Allen
357,2000.0,1,Gary Payton
358,2000.0,2,Allen Iverson
359,2000.0,3,Eddie Jones
360,1999.0,1,Jason Kidd
361,1999.0,2,Gary Payton
362,1999.0,3,John Stockton
363,1998.0,1,Gary Payton
364,1998.0,2,Tim Hardaway
365,1998.0,3,Mitch Richmond
366,1997.0,1,Tim Hardaway
367,1997.0,2,Mitch Richmond
368,1997.0,3,Anfernee Hardaway
369,1996.0,1,Michael Jordan
370,1996.0,2,Gary Payton
371,1996.0,3,Mitch Richmond
372,1995.0,1,Anfernee Hardaway
373,1995.0,2,Mitch Richmond
374,1995.0,3,Clyde Drexler
375,1994.0,1,John Stockton
376,1994.0,2,Kevin Johnson
377,1994.0,3,Mark Price
378,1993.0,1,Mark Price
379,1993.0,2,Joe Dumars
380,1993.0,3,Drazen Petrovic
381,1992.0,1,Clyde Drexler
382,1992.0,2,Tim Hardaway
383,1992.0,3,Kevin Johnson
384,1991.0,1,Magic Johnson
385,1991.0,2,Clyde Drexler
386,1991.0,3,John Stockton
387,1990.0,1,Michael Jordan
388,1990.0,2,John Stockton
389,1990.0,3,Joe Dumars
